"series","timestamp","value","label"
"Rise","2023-07-01T09:30:09Z",564,"1"
"Set","2023-07-02T02:00:09Z",114,"1"
"Rise","2023-07-02T09:25:09Z",559,"1"
"Set","2023-07-03T02:00:09Z",114,"1"
"Rise","2023-07-03T09:25:09Z",559,"1"
"Set","2023-07-04T01:45:09Z",99,"1"
"Rise","2023-07-04T09:25:09Z",559,"1"
"Set","2023-07-05T01:45:09Z",99,"1"
"Rise","2023-07-05T09:10:09Z",544,"1"
"Set","2023-07-06T01:40:09Z",94,"1"
"Rise","2023-07-06T09:45:09Z",579,"1"
"Set","2023-07-07T02:00:09Z",114,"1"
"Rise","2023-07-07T09:30:09Z",564,"1"
"Set","2023-07-08T01:55:09Z",109,"1"
"Rise","2023-07-08T09:35:09Z",569,"1"
"Set","2023-07-09T02:05:09Z",119,"1"
"Rise","2023-07-09T09:35:09Z",569,"1"
"Set","2023-07-10T02:00:09Z",114,"1"
"Rise","2023-07-10T09:35:09Z",569,"1"
"Set","2023-07-11T01:55:09Z",109,"1"
"Rise","2023-07-11T09:30:09Z",564,"1"
"Set","2023-07-12T02:00:09Z",114,"1"
"Rise","2023-07-12T09:40:09Z",574,"1"
"Set","2023-07-13T01:40:09Z",94,"1"
"Rise","2023-07-13T09:35:09Z",569,"1"
"Set","2023-07-14T01:45:09Z",99,"1"
"Rise","2023-07-14T09:40:09Z",574,"1"
"Set","2023-07-15T01:45:09Z",99,"1"
"Rise","2023-07-15T09:50:09Z",584,"1"
"Set","2023-07-16T01:40:09Z",94,"1"
"Rise","2023-07-16T09:45:09Z",579,"1"
"Set","2023-07-17T01:45:09Z",99,"1"
"Rise","2023-07-17T09:40:09Z",574,"1"
"Set","2023-07-18T01:40:09Z",94,"1"
"Rise","2023-07-18T09:45:09Z",579,"1"
"Set","2023-07-19T01:40:09Z",94,"1"
"Rise","2023-07-19T09:45:09Z",579,"1"
"Set","2023-07-20T01:35:09Z",89,"1"
"Rise","2023-07-20T09:50:09Z",584,"1"
"Set","2023-07-21T01:40:09Z",94,"1"
"Rise","2023-07-21T09:55:09Z",589,"1"
"Set","2023-07-22T01:40:09Z",94,"1"
"Rise","2023-07-22T09:50:09Z",584,"1"
"Set","2023-07-23T01:30:09Z",84,"1"
"Rise","2023-07-23T09:55:09Z",589,"1"
"Set","2023-07-24T01:35:09Z",89,"1"
"Rise","2023-07-24T09:50:09Z",584,"1"
"Set","2023-07-25T01:35:09Z",89,"1"
"Rise","2023-07-25T09:55:09Z",589,"1"
"Set","2023-07-26T01:30:09Z",84,"1"
"Rise","2023-07-26T09:55:09Z",589,"1"
"Set","2023-07-27T01:40:09Z",94,"1"
"Rise","2023-07-27T09:55:09Z",589,"1"
"Set","2023-07-28T01:40:09Z",94,"1"
"Rise","2023-07-28T10:00:09Z",594,"1"
"Set","2023-07-29T01:35:09Z",89,"1"
"Rise","2023-07-29T10:05:09Z",599,"1"
"Set","2023-07-30T01:30:09Z",84,"1"
"Rise","2023-07-30T10:00:09Z",594,"1"
"Set","2023-07-31T01:25:09Z",79,"1"
"Rise","2023-07-31T10:05:09Z",599,"1"
"Set","2023-08-01T01:25:09Z",79,"1"
"Rise","2023-08-01T10:05:09Z",599,"1"
"Set","2023-08-02T01:25:09Z",79,"1"
"Rise","2023-08-02T10:05:09Z",599,"1"
"Set","2023-08-03T01:25:09Z",79,"1"
"Rise","2023-08-03T10:05:09Z",599,"1"
"Set","2023-08-04T01:25:09Z",79,"1"
"Rise","2023-08-04T10:05:09Z",599,"1"
"Set","2023-08-05T01:20:09Z",74,"1"
"Rise","2023-08-05T10:10:09Z",604,"1"
"Set","2023-08-06T01:15:09Z",69,"1"
"Rise","2023-08-06T10:05:09Z",599,"1"
"Set","2023-08-07T01:15:09Z",69,"1"
"Rise","2023-08-07T10:10:09Z",604,"1"
"Set","2023-08-08T01:20:09Z",74,"1"
"Rise","2023-08-08T10:10:09Z",604,"1"
"Set","2023-08-09T01:15:09Z",69,"1"
"Rise","2023-08-09T10:15:09Z",609,"1"
"Set","2023-08-10T01:15:09Z",69,"1"
"Rise","2023-08-10T10:15:09Z",609,"1"
"Set","2023-08-11T01:10:09Z",64,"1"
"Rise","2023-08-11T10:10:09Z",604,"1"
"Set","2023-08-12T01:05:09Z",59,"1"
"Rise","2023-08-12T10:10:09Z",604,"1"
"Set","2023-08-13T01:10:09Z",64,"1"
"Rise","2023-08-13T10:20:09Z",614,"1"
"Set","2023-08-14T01:10:09Z",64,"1"
"Rise","2023-08-14T10:10:09Z",604,"1"
"Set","2023-08-15T00:55:09Z",49,"1"
"Rise","2023-08-15T10:30:09Z",624,"1"
"Set","2023-08-16T01:05:09Z",59,"1"
"Rise","2023-08-16T10:20:09Z",614,"1"
"Set","2023-08-17T01:05:09Z",59,"1"
"Rise","2023-08-17T10:25:09Z",619,"1"
"Set","2023-08-18T01:05:09Z",59,"1"
"Rise","2023-08-18T10:20:09Z",614,"1"
"Set","2023-08-19T01:00:09Z",54,"1"
"Rise","2023-08-19T10:25:09Z",619,"1"
"Set","2023-08-20T00:55:09Z",49,"1"
"Rise","2023-08-20T10:30:09Z",624,"1"
"Set","2023-08-21T01:00:09Z",54,"1"
"Rise","2023-08-21T10:35:09Z",629,"1"
"Set","2023-08-22T00:50:09Z",44,"1"
"Rise","2023-08-22T10:35:09Z",629,"1"
"Set","2023-08-23T00:45:09Z",39,"1"
"Rise","2023-08-23T10:45:09Z",639,"1"
"Set","2023-08-24T00:40:09Z",34,"1"
"Rise","2023-08-24T10:40:09Z",634,"1"
"Set","2023-08-25T00:30:09Z",24,"1"
"Rise","2023-08-25T10:40:09Z",634,"1"
"Set","2023-08-26T00:40:09Z",34,"1"
"Rise","2023-08-26T10:55:09Z",649,"1"
"Set","2023-08-27T00:45:09Z",39,"1"
"Rise","2023-08-27T10:35:09Z",629,"1"
"Set","2023-08-28T00:45:09Z",39,"1"
"Rise","2023-08-28T10:45:09Z",639,"1"
"Set","2023-08-29T00:30:09Z",24,"1"
"Rise","2023-08-29T11:00:09Z",654,"1"
"Set","2023-08-30T00:15:09Z",9,"1"
"Rise","2023-08-30T10:45:09Z",639,"1"
"Set","2023-08-31T00:35:09Z",29,"1"
"Rise","2023-08-31T10:45:09Z",639,"1"
"Set","2023-09-01T00:40:09Z",34,"1"
"Rise","2023-09-01T10:45:09Z",639,"1"
"Set","2023-09-02T00:30:09Z",24,"1"
"Rise","2023-09-02T10:55:09Z",649,"1"
"Set","2023-09-03T00:30:09Z",24,"1"
"Rise","2023-09-03T10:55:09Z",649,"1"
"Set","2023-09-04T00:20:09Z",14,"1"
"Rise","2023-09-04T10:45:09Z",639,"1"
"Set","2023-09-05T00:25:09Z",19,"1"
"Rise","2023-09-05T11:00:09Z",654,"1"
"Set","2023-09-06T00:25:09Z",19,"1"
"Rise","2023-09-06T10:55:09Z",649,"1"
"Set","2023-09-07T00:25:09Z",19,"1"
"Rise","2023-09-07T11:00:09Z",654,"1"
"Set","2023-09-08T00:05:09Z",1439,"1"
"Rise","2023-09-08T11:05:09Z",659,"1"
"Set","2023-09-09T00:20:09Z",14,"1"
"Rise","2023-09-09T10:50:09Z",644,"1"
"Set","2023-09-10T00:15:09Z",9,"1"
"Rise","2023-09-10T10:55:09Z",649,"1"
"Set","2023-09-11T00:05:09Z",1439,"1"
"Rise","2023-09-11T11:05:09Z",659,"1"
"Set","2023-09-11T23:45:09Z",1419,"1"
"Rise","2023-09-12T11:05:09Z",659,"1"
"Set","2023-09-12T23:50:09Z",1424,"1"
"Rise","2023-09-13T11:10:09Z",664,"1"
"Set","2023-09-14T00:05:09Z",1439,"1"
"Rise","2023-09-14T11:05:09Z",659,"1"
"Set","2023-09-15T00:05:09Z",1439,"1"
"Rise","2023-09-15T11:00:09Z",654,"1"
"Set","2023-09-16T00:00:09Z",1434,"1"
"Rise","2023-09-16T11:10:09Z",664,"1"
"Set","2023-09-17T00:05:09Z",1439,"1"
"Rise","2023-09-17T11:25:09Z",679,"1"
"Set","2023-09-18T00:05:09Z",1439,"1"
"Rise","2023-09-18T11:20:09Z",674,"1"
"Set","2023-09-19T00:00:09Z",1434,"1"
"Rise","2023-09-19T11:10:09Z",664,"1"
"Set","2023-09-20T00:00:09Z",1434,"1"
"Rise","2023-09-20T11:30:09Z",684,"1"
"Set","2023-09-20T23:55:09Z",1429,"1"
"Rise","2023-09-21T11:15:09Z",669,"1"
"Set","2023-09-21T23:55:09Z",1429,"1"
"Rise","2023-09-22T11:20:09Z",674,"1"
"Set","2023-09-22T23:45:09Z",1419,"1"
"Rise","2023-09-23T11:20:09Z",674,"1"
"Set","2023-09-23T23:50:09Z",1424,"1"
"Rise","2023-09-24T11:10:09Z",664,"1"
"Set","2023-09-24T23:50:09Z",1424,"1"
"Rise","2023-09-25T11:15:09Z",669,"1"
"Set","2023-09-25T23:40:09Z",1414,"1"
"Rise","2023-09-26T11:25:09Z",679,"1"
"Set","2023-09-26T23:40:09Z",1414,"1"
"Rise","2023-09-27T11:20:09Z",674,"1"
"Set","2023-09-27T23:35:09Z",1409,"1"
"Rise","2023-09-28T11:20:09Z",674,"1"
"Set","2023-09-28T23:40:09Z",1414,"1"
"Rise","2023-09-29T11:25:09Z",679,"1"
"Set","2023-09-29T23:35:09Z",1409,"1"
"Rise","2023-09-30T11:20:09Z",674,"1"
"Set","2023-09-30T23:25:09Z",1399,"1"
"Rise","2023-10-01T11:25:09Z",679,"1"
"Set","2023-10-01T23:35:09Z",1409,"1"
"Rise","2023-10-02T11:20:09Z",674,"1"
"Set","2023-10-02T23:35:09Z",1409,"1"
"Rise","2023-10-03T11:25:09Z",679,"1"
"Set","2023-10-03T23:25:09Z",1399,"1"
"Rise","2023-10-04T11:20:09Z",674,"1"
"Set","2023-10-04T23:15:09Z",1389,"1"
"Rise","2023-10-05T11:35:09Z",689,"1"
"Set","2023-10-05T23:30:09Z",1404,"1"
"Rise","2023-10-06T11:25:09Z",679,"1"
"Set","2023-10-06T23:30:09Z",1404,"1"
"Rise","2023-10-07T11:30:09Z",684,"2"
"Set","2023-10-07T23:20:09Z",1394,"2"
"Rise","2023-10-08T11:15:09Z",669,"2-5"
"Set","2023-10-08T23:10:09Z",1384,"3"
"Rise","2023-10-09T11:15:09Z",669,"3"
"Set","2023-10-09T23:10:09Z",1384,"3"
"Rise","2023-10-10T11:15:09Z",669,"3"
"Set","2023-10-10T23:10:09Z",1384,"3"
"Rise","2023-10-11T11:55:09Z",709,"3"
"Set","2023-10-11T22:40:09Z",1354,"3"
"Rise","2023-10-12T11:40:09Z",694,"3"
"Set","2023-10-12T22:50:09Z",1364,"3"
"Rise","2023-10-13T11:20:09Z",674,"3"
"Set","2023-10-13T22:50:09Z",1364,"3"
"Rise","2023-10-14T11:35:09Z",689,"3"
"Set","2023-10-14T22:50:09Z",1364,"3"
"Rise","2023-10-15T11:25:09Z",679,"3"
"Set","2023-10-15T22:55:09Z",1369,"3"
"Rise","2023-10-16T11:20:09Z",674,"3"
"Set","2023-10-16T22:55:09Z",1369,"3"
"Rise","2023-10-17T11:25:09Z",679,"3"
"Set","2023-10-17T23:10:09Z",1384,"3"
"Rise","2023-10-18T11:25:09Z",679,"3"
"Set","2023-10-18T23:00:09Z",1374,"3"
"Rise","2023-10-19T11:20:09Z",674,"3"
"Set","2023-10-19T22:55:09Z",1369,"3"
"Rise","2023-10-20T11:35:09Z",689,"3"
"Set","2023-10-20T22:50:09Z",1364,"3"
"Rise","2023-10-21T11:25:09Z",679,"3"
"Set","2023-10-21T22:55:09Z",1369,"3"
"Rise","2023-10-22T11:30:09Z",684,"3"
"Set","2023-10-22T23:00:09Z",1374,"3"
"Rise","2023-10-23T11:20:09Z",674,"4"
"Set","2023-10-23T22:50:09Z",1364,"4"
"Rise","2023-10-24T11:25:09Z",679,"4"
"Set","2023-10-24T22:50:09Z",1364,"4"
"Rise","2023-10-25T11:20:09Z",674,"4"
"Set","2023-10-25T22:50:09Z",1364,"4"
"Rise","2023-10-26T11:25:09Z",679,"4"
"Set","2023-10-26T23:00:09Z",1374,"4"
"Rise","2023-10-27T11:20:09Z",674,"4"
"Set","2023-10-27T22:50:09Z",1364,"4"
"Rise","2023-10-28T11:15:09Z",669,"4"
"Set","2023-10-28T22:45:09Z",1359,"4"
"Rise","2023-10-29T11:20:09Z",674,"4"
"Set","2023-10-29T22:45:09Z",1359,"4"
"Rise","2023-10-30T11:30:09Z",684,"4"
"Set","2023-10-30T22:50:09Z",1364,"4"
"Rise","2023-10-31T11:25:09Z",679,"4"
"Set","2023-10-31T22:35:09Z",1349,"4"
"Rise","2023-11-01T11:20:09Z",674,"4"
"Set","2023-11-01T22:40:09Z",1354,"4"
"Rise","2023-11-02T11:25:09Z",679,"5"
"Set","2023-11-02T22:55:09Z",1369,"5"
"Rise","2023-11-03T11:15:09Z",669,"5"
"Set","2023-11-03T22:25:09Z",1339,"5"
"Rise","2023-11-04T11:10:09Z",664,"5"
"Set","2023-11-04T22:40:09Z",1354,"5"
"Rise","2023-11-05T11:10:09Z",664,"5"
"Set","2023-11-05T22:35:09Z",1349,"5"
"Rise","2023-11-06T11:05:09Z",659,"5"
"Set","2023-11-06T22:45:09Z",1359,"5"
"Rise","2023-11-07T11:15:09Z",669,"5"
"Set","2023-11-07T22:50:09Z",1364,"5"
"Rise","2023-11-08T11:05:09Z",659,"5"
"Set","2023-11-08T22:50:09Z",1364,"5"
"Rise","2023-11-09T11:05:09Z",659,"5"
"Set","2023-11-09T22:50:09Z",1364,"5"
"Rise","2023-11-10T11:10:09Z",664,"5"
"Set","2023-11-10T22:50:09Z",1364,"5"
"Rise","2023-11-11T11:10:09Z",664,"5"
"Set","2023-11-11T22:45:09Z",1359,"5"
"Rise","2023-11-12T11:15:09Z",669,"5"
"Set","2023-11-12T22:50:09Z",1364,"5"
"Rise","2023-11-13T11:15:09Z",669,"5"
"Set","2023-11-13T22:45:09Z",1359,"5"
"Rise","2023-11-14T11:15:09Z",669,"5"
"Set","2023-11-14T22:40:09Z",1354,"5"
"Rise","2023-11-15T11:20:09Z",674,"5"
"Set","2023-11-15T22:30:09Z",1344,"5"
"Rise","2023-11-16T11:25:09Z",679,"5"
"Set","2023-11-16T22:50:09Z",1364,"5"
"Rise","2023-11-17T11:15:09Z",669,"5"
"Set","2023-11-17T22:35:09Z",1349,"5"
"Rise","2023-11-18T11:20:09Z",674,"5"
"Set","2023-11-18T22:45:09Z",1359,"5"
"Rise","2023-11-19T11:05:09Z",659,"5"
"Set","2023-11-19T22:30:09Z",1344,"5"
"Rise","2023-11-20T10:55:09Z",649,"5"
"Set","2023-11-20T22:35:09Z",1349,"5"
"Rise","2023-11-21T10:50:09Z",644,"5"
"Set","2023-11-21T22:30:09Z",1344,"5"
"Rise","2023-11-22T10:50:09Z",644,"5"
"Set","2023-11-22T22:30:09Z",1344,"5"
"Rise","2023-11-23T10:50:09Z",644,"5"
"Set","2023-11-23T22:35:09Z",1349,"5"
"Rise","2023-11-24T10:55:09Z",649,"5"
"Set","2023-11-24T22:30:09Z",1344,"5"
"Rise","2023-11-25T10:50:09Z",644,"5"
"Set","2023-11-25T22:35:09Z",1349,"5"
"Rise","2023-11-26T10:55:09Z",649,"5"
"Set","2023-11-26T22:25:09Z",1339,"5"
"Rise","2023-11-27T10:55:09Z",649,"5"
"Set","2023-11-27T22:35:09Z",1349,"5"
"Rise","2023-11-28T10:50:09Z",644,"5"
"Set","2023-11-28T22:30:09Z",1344,"5"
"Rise","2023-11-29T10:50:09Z",644,"5"
"Set","2023-11-29T22:35:09Z",1349,"5"
"Rise","2023-11-30T10:50:09Z",644,"5"
"Set","2023-11-30T22:35:09Z",1349,"5"
"Rise","2023-12-01T10:55:09Z",649,"5"
"Set","2023-12-01T22:30:09Z",1344,"5"
"Rise","2023-12-02T11:00:09Z",654,"5"
"Set","2023-12-02T22:35:09Z",1349,"5"
"Rise","2023-12-03T11:05:09Z",659,"5"
"Set","2023-12-03T22:35:09Z",1349,"5"
"Rise","2023-12-04T11:00:09Z",654,"5"
"Set","2023-12-04T22:25:09Z",1339,"5"
"Rise","2023-12-05T10:50:09Z",644,"5"
"Set","2023-12-05T22:40:09Z",1354,"5"
"Rise","2023-12-06T11:00:09Z",654,"5"
"Set","2023-12-06T22:40:09Z",1354,"5"
"Rise","2023-12-07T11:00:09Z",654,"5"
"Set","2023-12-07T22:30:09Z",1344,"5"
"Rise","2023-12-08T11:00:09Z",654,"5"
"Set","2023-12-08T22:20:09Z",1334,"5"
"Rise","2023-12-09T11:00:09Z",654,"5"
"Set","2023-12-09T22:30:09Z",1344,"5"
